Time,C_1,C_2,C_3,C-4,C_5,C_6,C_7,C_8
1486944555.207997,50,91,44,38,39,36,31,26
1486944555.230748,67,89,40,40,39,36,32,32
1486944555.250667,72,93,39,40,38,37,33,33
1486944555.267557,93,126,37,40,35,33,33,33
1486944555.290274,112,163,38,38,37,31,32,34
1486944555.311294,113,163,37,36,35,33,31,35
1486944555.328202,109,161,40,36,36,33,31,31
1486944555.3509,110,161,41,38,37,32,32,31
1486944555.370782,98,149,41,39,37,32,29,30
1486944555.395402,75,110,40,37,31,31,27,30
1486944555.410477,79,113,38,39,32,28,28,29
1486944555.430363,71,113,35,36,30,30,30,29
1486944555.448468,72,115,32,33,28,32,30,28
1486944555.469919,69,100,31,32,28,33,31,27
1486944555.49266,74,96,33,34,26,34,36,26
1486944555.516379,71,95,34,31,29,33,36,30
1486944555.530821,79,102,34,34,28,30,36,27
1486944555.550611,84,123,35,34,30,31,35,27
1486944555.567474,79,121,36,37,34,32,36,28
1486944555.590188,76,127,36,38,35,33,30,26
1486944555.611419,74,126,35,38,33,34,29,24
1486944555.628262,70,124,34,39,37,33,27,28
1486944555.649698,85,156,38,39,37,30,31,32
1486944555.670781,98,173,37,36,34,29,31,34
1486944555.687714,103,177,34,35,36,29,34,35
1486944555.710491,109,189,35,35,37,29,34,34
1486944555.730384,117,199,36,33,34,29,38,33
1486944555.748487,106,168,31,34,36,29,33,33
1486944555.76997,111,170,33,37,37,35,35,35
1486944555.791101,109,170,35,37,36,34,34,36
1486944555.808,113,178,34,36,36,35,36,36
1486944555.830758,105,172,32,35,35,33,33,36
1486944555.850582,101,167,31,32,35,35,34,32
1486944555.8675,87,156,30,32,36,33,33,30
1486944555.890213,80,148,30,31,35,34,34,28
1486944555.913075,64,117,28,30,35,33,32,28
1486944555.928284,58,109,30,33,36,33,30,27
1486944555.949741,51,110,32,35,38,35,31,30
1486944555.972573,66,123,31,34,35,34,30,30
1486944555.987766,102,167,29,34,34,33,28,32
1486944556.010511,140,221,30,36,34,34,29,31
1486944556.033334,172,267,31,35,33,39,33,32
1486944556.053255,188,296,32,34,32,36,32,32
1486944556.070032,186,290,32,34,38,39,33,30
1486944556.092824,178,274,31,34,39,39,32,32
1486944556.113971,170,261,36,32,40,39,31,36
1486944556.130784,144,218,35,33,40,35,27,34
1486944556.152378,125,174,34,34,41,35,27,35
1486944556.173457,119,166,36,33,38,33,25,34
1486944556.190302,104,152,38,39,40,32,30,32
1486944556.213119,72,103,33,41,37,34,31,29
1486944556.232985,58,99,32,40,37,36,34,29
1486944556.249769,52,104,33,39,33,38,33,28
1486944556.272651,88,140,29,39,32,37,33,29
1486944556.293825,105,158,33,35,28,37,34,28
1486944556.31057,120,164,35,33,29,36,34,28
1486944556.333374,120,163,35,32,31,34,34,28
1486944556.353321,121,157,37,32,32,37,33,28
